time,station_id,name,latitude,longitude,aqi,pm25,pm10,co,co2,no2,o3,so2,dust,uv,temp,hum
2026-08-15T19:00:00Z,srinagar,Srinagar,34.0837,74.7973,100,75.9,82.2,1411,531,52,9,4.9,14,0,21.6,86
2026-08-15T19:00:00Z,anantnag,Anantnag,33.7311,75.1487,75,52,55.5,798,499,36,41,0.4,9,0,19.1,95
2026-08-15T19:00:00Z,baramulla,Baramulla,34.198,74.3636,71,38.5,42.8,445,560,17,45,2.4,9,0,18.9,80
2026-08-15T19:00:00Z,budgam,Budgam,33.9299,74.7857,100,75.9,82.2,473,498,52,9,4.9,14,0,19.8,89
2026-08-15T19:00:00Z,bandipora,Bandipora,34.4177,74.6431,89,57.6,65.4,358,495,37.6,46,5.4,18,0,21.2,66
2026-08-15T19:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,89,57.6,65.4,508,502,37.6,46,5.4,18,0,21.6,73
2026-08-15T19:00:00Z,kulgam,Kulgam,33.6444,75.0192,75,52,55.5,293,465,36,41,0.4,9,0,19.4,74
2026-08-15T19:00:00Z,kupwara,Kupwara,34.5262,74.2546,76,48,55.5,344,546,22.4,48,2.9,16,0,19.2,80
2026-08-15T19:00:00Z,pulwama,Pulwama,33.8716,74.8988,100,75.9,82.2,605,491,52,9,4.9,14,0,19.5,85
2026-08-15T19:00:00Z,shopian,Shopian,33.7167,74.8333,61,32,34,324,471,25.3,12,0.8,6,0,17.8,69
2026-08-15T19:00:00Z,sopore,Sopore,34.287,74.467,76,48,55.5,649,551,22.4,48,2.9,16,0,18.4,87
2026-08-15T19:00:00Z,handwara,Handwara,34.4,74.28,76,48,55.5,456,544,22.4,48,2.9,16,0,18.9,75
2026-08-15T19:00:00Z,gulmarg,Gulmarg,34.0484,74.3805,71,38.5,42.8,294,463,17,45,2.4,9,0,12.9,88
2026-08-15T19:00:00Z,pahalgam,Pahalgam,34.0159,75.3151,77,62.9,66.4,482,527,34,24,0.7,9,0,16.8,77
2026-08-15T19:00:00Z,sonamarg,Sonamarg,34.305,75.293,51,17.5,20.3,262,473,7.5,54,0,8,0,13.5,96
2026-08-15T19:00:00Z,yusmarg,Yusmarg,33.83,74.66,100,75.9,82.2,290,476,52,9,4.9,14,0,16.1,77
2026-08-15T19:00:00Z,tangmarg,Tangmarg,34.045,74.429,71,38.5,42.8,294,463,17,45,2.4,9,0,17.4,75
2026-08-15T19:00:00Z,uri,Uri,34.079,74.05,79,52,58.4,422,544,12.8,109,2.9,13,0,20.2,97
2026-08-15T19:00:00Z,awantipora,Awantipora,33.92,75.01,77,62.9,66.4,710,473,34,24,0.7,9,0,20.5,85
2026-08-15T19:00:00Z,bijbehara,Bijbehara,33.793,75.105,75,52,55.5,796,508,36,41,0.4,9,0,19.5,90
